zip_code,year,median_income,pct_asian,pct_black,pct_white,pct_hispanic,pct_2_more_races,pct_other
02108,2010,104708,5.0269,2.7828,89.617,4.0096,1.4961,1.0772
02109,2010,116232,4.7619,2.9963,89.6469,4.2001,1.2841,1.3108
02110,2010,121649,7.1146,2.4845,86.9565,4.3478,1.9198,1.5246
02111,2010,42194,46.7047,4.6032,45.2579,4.6032,2.0897,1.3445
02113,2010,72692,2.6712,0.974,94.2149,3.66,1.0331,1.1068
02114,2010,82007,9.3453,6.7089,80.7334,6.3763,1.9226,1.2898
02115,2010,35838,15.6222,8.8537,68.3296,10.411,3.1863,4.0082
02116,2010,96367,14.8865,6.1512,75.0405,5.2696,2.3713,1.5505
02118,2010,49627,14.5027,20.6423,52.202,19.2845,3.6798,8.9732
02119,2010,36483,1.5862,58.6119,16.704,29.5792,6.2763,16.8216
02120,2010,34904,10.8093,22.3478,53.6639,20.1847,3.992,9.187
02121,2010,32025,0.8275,70.4846,7.6016,27.4487,5.2696,15.8167
02122,2010,51925,17.0822,29.6327,36.8009,12.3021,5.2308,11.2534
02124,2010,45808,6.3805,59.0036,20.8866,15.8384,4.7949,8.9344
02125,2010,45073,11.216,30.2188,34.4714,18.8496,6.4164,17.6774
02126,2010,52150,0.9725,83.0105,6.4975,11.7706,3.6769,5.8426
02127,2010,73894,4.8654,6.2666,81.9363,10.239,2.2048,4.7269
02128,2010,48126,3.6312,4.5037,64.6449,52.9905,5.106,22.1142
02129,2010,94929,8.2112,5.7722,80.0803,9.677,2.0984,3.8379
02130,2010,71799,5.3186,14.8572,65.1192,22.6802,4.8369,9.8681
02131,2010,67639,2.7742,23.8626,57.2142,25.6243,4.4982,11.6508
02132,2010,85359,6.385,6.2751,82.6374,7.1504,2.0803,2.6222
02134,2010,49718,18.2627,5.0059,65.9254,12.7394,3.8531,6.9529
02135,2010,61864,13.3118,5.0228,74.7267,8.7313,2.8048,4.1339
02136,2010,55257,1.9678,45.1574,38.5249,21.5791,4.0995,10.2504
02152,2010,74399,1.2636,2.8123,90.6519,6.5191,1.9345,3.3377
02163,2010,27546,25.6247,8.471,58.0686,9.4875,4.8285,3.0072
02199,2010,80952,11.5084,3.9106,81.7877,5.1397,1.676,1.1173
02203,2010,0,0,0,0,0,0,0
02210,2010,94602,10.1363,2.3118,84.588,4.9793,1.7783,1.1856
02215,2010,45686,19.7146,4.2415,70.0684,8.1798,3.6778,2.2977
02467,2010,116693,14.8647,3.7124,77.5754,4.9983,2.5367,1.3108
02201,2010,0,0,0,0,0,0,0
02108,2011,104708,5.0502,2.7761,89.6338,4.0461,1.5062,1.0337
02109,2011,116843,4.7972,3.0215,89.5574,4.2937,1.3252,1.2987
02110,2011,122135,7.0989,2.4595,87.0319,4.4159,1.9564,1.4533
02111,2011,42929,46.9843,4.6063,44.9691,4.6639,2.1448,1.2955
